verb,query,verb_translation,query_translation,notes
cut,cutting a rope ,cortar ,cortar una cuerda,
cut,cutting bushes ,podar,podar los arbustos,
cut,cutting with scalpel ,tallar,tallar con escalpelo,
cut,cutting nails ,cortar ,cortar las uñas,
cut,cutting stone ,tallar,tallar piedra,
cut,cutting metals ,cortar ,cortar metales,
watch,watching television ,ver,ver la tele,
watch,watching a game ,ver,ver un partido,
watch,watching the news ,ver ,ver las notícias,
watch,watching the sun ,mirar,mirar al sol,
watch,watching the sheep ,mirar,mirar las ovejas,
watch,watching the horses ,mirar,mirar los caballos,
watch,watching children ,vigilar,vigilar a los niños,
watch,watching a parade ,ver,ver un pasacalle,
watch,to watch a baby ,cuidar,cuidar a un bebé,
watch,to watch the battle ,observar,observar la batalla,
watch,watching birds ,observar,observar pájaros,
watch,watching sunset ,ver,ver el atardecer,
watch,to watch the procession ,ver ,ver la procesión,
watch,watching a movie ,ver,ver una película,
watch,watching the sky ,mirar,mirar al cielo,
watch,watching the stars ,mirar,mirar las estrellas,
stick,sticking to the pan ,pegar,pegarse a la sartén,
stick,sticking out tongue ,sacar,sacar la lengua,
stick,dog sticking out tongue ,sacar,perro sacando la lengua,
stick,sticking with glue ,pegar,pegar con pegamento,
stick,sticking out hand ,sacar,sacar la mano,
stick,sticking to the bottom ,pegar,pegarse al fondo,
stick,sticking a label ,pegar,pegar una etiqueta,
stick,sticking needle into finger ,clavar,clavar una aguja en el dedo,
stick,sticking thumb ,sacar,sacar el pulgar,
stick,sticking photo on wall ,poner,poner foto en el muro,
chop,chopping trees ,talar,talar árboles,
chop,chopping wood ,cortar ,cortar madera,
chop,chopping tomatoes ,cortar ,cortar tomates,
chop,chopping onion ,cortar ,cortar cebolla,
chop,chopping with axe ,cortar ,cortar con un hacha,
chop,chopping firewood ,cortar,cortar leña,
chop,chopping meat ,trozear,trozear carne,
chop,chopping garlic ,cortar ,cortar ajo,
collide,colliding cars ,chocar,coches chocando,
collide,colliding trucks ,chocar,camiones chocando,
collide,colliding balls ,chocar,pelotas chocando,
collide,colling trains ,chocar,trenes chocando,"Assuming ""colliding"""
collide,colling players ,chocar,jugadores chocando,
collide,meteor colling earth ,colisionar,meteorito colisionando con la tierra,
collide,colliding into wall ,chocar,chocar contra un muro,
collide,colling planes ,chocar,aviones chocando,
collide,colliding women in a game ,chocando,mujeres chocando en un partido,
press,pressing clothes ,planchar,planchar la ropa,
press,pressing lips ,cerrar,cerrar los labios,
press,pressing button ,presionar,presionar un botón,
press,pressing the pedal ,presionar,presionar el pedal,
press,press out juice ,exprimir,exprimir zumo,
press,man pressing fruit ,exprimir,hombre exprimiendo fruta,
press,pressing hands together ,apretar,apretar las manos,
press,pressing enter ,pulsar,pulsar intro,
press,pressing massage ,,,Not sure of meaning of English sentence
press,pressing bell ,llamar,llamar al timbre,
press,pressing plunger ,presionar,presionar el desatascador,
press,pressing dough ,presionar,presionar la pasta,
press,pressing forehead ,apretar,apretar la frente,
press,pressing cheek ,apretar,apretar las mejillas,
brush,brushing hair ,peinar,peinar el cabello,
brush,brushing teeth ,cepillar,cepillar los dientes,
brush,kids brushing teeth ,cepillar,niños cepillándose los dientes,
brush,brushing floor ,cepillar,cepillar el suelo,
brush,brushing bread ,pintar,pintar el pan,Not sure of meaning of English sentence
brush,brushing dough ,pintar,pintar la masa,Not sure of meaning of English sentence
brush,brushing with butter ,pintar ,pintar con mantequilla,
brush,brushing meat with sauce ,pintar,pintar la carne con salsa,
brush,brushing wall ,pintar ,pintar la pared,
brush,brushing the paint ,cepillar,cepillar la pintura,
brush,brushing horse ,cepillar,cepillar un caballo,
brush,brushing cat fur ,cepillar,cepillar el pelaje de un gato,
brush,brush off the dust ,limpiar,limpiar el polvo,
brush,brushing off shoulder ,limpiar,limpiar el hombro,
brush,brushing off hands ,limpiar,limpiarse las manos,
break,breaking eggs ,romper,romper huevos,
break,breaking car window ,romper,romper la ventana de un coche,
break,breaking door ,romper,romper la puerta,
break,breaking wall ,romper,romper el muro,
break,breaking bread ,quebrar,quebrar el pan,
break,breaking chains ,quebrar,quebrar las cadenas,
break,breaking contract ,romper,romper un contrato,
break,breaking prawns ,romper,romper una gamba,
break,breaking into a house ,irrumpir,irrumpir en una casa,
break,break into pieces ,despedazar,despedazar,
break,breaking into safe ,irrumpir,irrumpir en una caja fuerte,
break,breaking down into tears ,romper,romper a llorar,
break,breaking into laughter ,echar,echarse a reir,
destroy,fire destroying house ,destruir,fuego destruyendo una casa ,
destroy,hurricane destryoing homes ,destruir,huracán destruyendo casas,
destroy,destroying bridge ,destruir,destruir puente,
destroy,destroying buildings ,destruir ,destruir edificios,
destroy,destroying things ,destruir,destruir cosas,
destroy,destroying with bomb ,destruir,destruir con una bomba,
destroy,destroying paper evidence ,destruir ,destruir pruebas en papel,
destroy,destroying paper ,destruir ,destruir en papel,
destroy,destroying data ,destruir,destruir datos,
destroy,destroying crops ,destruir ,destruir cultivos,
destroy,destroying statue ,despedazar ,despedazar una estatua,
color,coloring walls ,colorear,colorear un muro,
color,children coloring with crayons ,colorear,niños coloreando con lápices de colores,
color,coloring with markers ,colorear,colorear con rotuladores,
stuff,stuffing a turkey with hand ,rellenar,rellenar un pavo con la mano,
stuff,stuffing food into mouth ,llenar,llenar la boca de comida,
stuff,stuffing with money ,rellenar,rellenar de dinero,Not sure of meaning of English sentence
hold,holding meetings ,organizar,organizar una reunión,
hold,holding a party ,organizar,organizar una fiesta,
hold,holding elevator ,aguantar,aguantar el ascensor,
hold,holding mirror ,soportar,soportar el espejo,
hold,holding breath ,aguantar,aguantar la respiración,
hold,holding breath under water ,aguantar,aguantar la respiración bajo el agua,
hold,holding hands ,ir ,ir de la mano,
hold,holding water ,retener,retener agua,
hold,holding horse ,retener,retener un caballo,
hold,holding boxes ,guardar,guardar cajas,
hold,holding pen ,aguantar,aguantar un bolígrafo,
hold,holding a baby ,sostener,sostener a un bebé,
hold,holding arms ,ir ,ir del brazo,
hold,holding gun ,sostener,sostener una pistola,
hold,holding candles ,sostener,sostener velas,
hold,holding bicycle ,aguantar,aguantar una bicicleta,
hold,holding an umbrella ,sostener,sostener un paraguas,
drill,drilling military troops ,instruir,instruit tropas militares,
drill,drilling navy ,ejercitar,ejercitar la marina,
drill,drilling holes ,taladrar,taladrar agujeros,
drill,drilling wood ,perforar,perforar madera,
drill,drilling metal ,taladrar,taladrar metal,
drill,drilling wells ,perforar,perforar pozos,
drill,drilling for oil ,perforar,perforar en busca de petróleo,
drill,drilling gas ,extraer,extraer gas natural,
wave,waving hands ,saludar,saludar con la mano,
wave,waving arms ,agitar,agitar el brazo,
wave,waving in the wind ,ondear,ondear en el viento,
wave,waving flags ,ondear,banderas ondeando,
wave,people waving flags ,ondear,gente banderas ondeando,
wave,waving banners ,ondear,estandartes ondeando,
wave,waving to the crowd ,saludar,saludar al gentío,
wave,waving the gun ,agitar ,agitar el arma,
wave,waving his fist ,agitar,agitar su puño,
wave,waving a coat ,agitar,agitar el abrigo,Not sure of meaning of English sentence
wave,waving her hair ,agitar,agitar su pelo,
wave,waving sword ,agitar,agitar espada,
pass,people passing each other ,adelantar,personas adelantándose,
pass,passing through fire ,atravesar,atravesar fuego,
pass,passing over the bridge ,pasar,pasar por un puente,
pass,passing over the river ,pasar,pasar sobre el rio,
pass,passing in front ,pasar,pasar delante,
pass,passing the ball ,pasar,pasar la pelota,
pass,passing food ,pasar,pasar comida,
pass,passing from hand to hand ,pasar,pasar de mano a mano,
pass,man passed out ,desmayarse,el hombre se desmayó,
pass,passing fingers through hair ,pasar,pasar dedos por el cabello,
pass,passing through the canal ,atravesar,atravesar el canal,
turn,turning head ,girar ,girar la cabeza,
turn,turning back ,girar ,girar la espalda,
turn,turning the wheel ,girar ,girar e volante,
turn,turning the pages ,girar ,girar las páginas,
turn,turning the screw ,girar ,girar el tornillo,
turn,turning the handle ,girar ,girar el mango,
turn,turning the key ,girar ,girar la llave,
turn,turning the knob ,girar ,girar el botón,
turn,turning on the light ,encender,encender la luz,
turn,turning up the volume ,aumentar,aumentar el volumen,
blow,blowing up bomb ,explotar,explotar una bomba,
blow,blowing kiss ,mandar,mandar un beso,
blow,blowing glass ,soplar,soplar cristal,
blow,people blowing nose ,sonar,gente sonandose la nariz,
blow,people blowing horn ,hacer sonar,hacer sonar la bocina,
blow,blowing balloon ,hinchar,hinchar un globo,
blow,people blowing flute ,tocar,gente tocando la flauta,
blow,blowing trumpet ,tocar,tocar la trompeta,
blow,blowing with hair dryer ,secar,secar con el secador de pelo,
blow,blowing soup ,soplar,soplar en la sopa,
blow,wind blowing ,soplar ,el viento sopla,
blow,wind blowing in hurricane ,soplar,el viento sopla en un huracán,
run,running river water ,correr,el agua corre en el rio,
run,running a race ,correr,correr una carrera,
run,runing in the rain ,correr,correr bajo la lluvia,
run,running a marathon ,correr,correr una maratón,
run,scientist running an experiment ,experimentar,científicos experimentando,
run,running down stairs ,correr,correr escaleras abajo,
run,tear runnning down his cheecks ,caer,lágrima cayendo por su mejilla,
run,running a wire ,colocar,colocar un cable,Not sure of meaning of English sentence
run,running fingers through hair ,pasar,pasar dedos por el cabello,
run,running nose ,moquear,nariz moqueante,
run,run into a wall ,chocar,chocar con un muro,
run,running into fire ,topar,toparse con un fuego,
run,run into each other ,tropezar,tropezar el uno con el otro,
cry,crying for help ,vocear,vocear pidiendo ayuda,
cry,crying ,llorar,llorar,
cry,crying out ,llorar,llorar,
cry,crying at funeral ,llorar,llorar en un funeral,
cry,crying after winning ,llorar,llorar después de ganar,
cry,infant crying ,llorar,infante llorando,
cry,cats crying ,llorar,gatos llorando,
cry,crying for joy ,llorar,llorar de alegría,
cry,crying out in pain after injury ,llorar,llorar de dolor tras una lesión,
hit,hit by a car ,golpear,golpeado por un coche,
hit,hitting daughter ,pegar,pegar a la hija,
hit,hitting children ,pegar,pegar a los niños,
hit,hitting on a guy ,ligar,ligar con un chico,
hit,hitting on a girl ,ligar,ligar con una chica,
hit,hitting on women ,ligar,ligar con las mujeres,
hit,hitting a golf ball ,golpear,golpear una pelota de golf,
hit,hitting baseball ,golpear,golpear una pelota de béisbol,
hit,hitting a tennis ball ,golpear,golpear una pelota de tenis,
hit,hitting a snooker ball ,golpear,golpear una bola de billar,
hit,hitting a nail ,golpear ,golpear un clavo,
hit,hit on face ,pegar,pegar en la cara,
hit,hit fist on table ,golpear,golpear la mesa con el puño,
hit,hitting a button ,presionar,presionar el botón,
hit,hitting head with hammer ,golpear,golpear la cabeza con un martillo,
hit,hitting head by hand ,golpear,golpear la cabeza con una mano,
hit,hitting brakes ,presionar,presionar los frenos,
